title,category,old_filename,old_slug,new_slug,is_bad_old,published
नयाँ नेपाली कविता,Nepali Poems/Kabita,/2019/01/blog-post_6.html,blog-post_6,nayan-nepali-kavita,True,2019-01-06
WISDOM IS GREATER THAN STRENGTH DEBATE IN NEPALI,Nepali Essay/Nibandha,/2019/06/wisdom-is-greater-than-strength-debate.html,wisdom-is-greater-than-strength-debate,wisdom-is-greater-than-strength-debate-in-nepali,False,2019-06-05
Nepali Sahitya,Nepali Blog,/2019/01/nepali-sahitya.html,nepali-sahitya,nepali-sahitya,False,2019-01-06
देश विकास निर्माणमा युवाको भूमिका निबन्ध नेपालीमा,Nepali Essay/Nibandha,/2019/06/blog-post.html,blog-pos,desha-vikasa-nirmanama-yuvako-bhumika-nibandha-nepalima,True,2019-06-10
देश विकासमा युवाको भूमिका Youth Role in Country Development Essay Nepali,BLE PRACTICE 2076,/2019/06/youth-role-in-country-development.html,youth-role-in-country-developmen,desha-vikasama-yuvako-bhumika-youth-role-in-country,False,2019-06-10
पुस्तकालयको महत्व निबन्ध,Nepali Essay/Nibandha,/2018/03/blog-post_40.html,blog-post_40,pustakalayako-mahatva-nibandha,True,2018-03-17
वनस्खन्डि माताको अस्तित्व जोखिममा - Hetauda Banaskhandi Temple,Nepali Essay/Nibandha,/2018/11/blog-post.html,blog-pos,vanaskhandi-matako-astitva-jokhimama-hetauda-banaskhandi,True,2018-11-17
Student Poem In Nepali,Nepali Poems/Kabita,/2018/03/student-poem-in-nepali.html,student-poem-in-nepali,student-poem-in-nepali,False,2018-03-17
Nepali Book Review Sample  | पुस्तक समिक्षा,Book Review,/2018/03/nepali-book-review.html,nepali-book-review,nepali-book-review-sample,False,2018-03-17
पृथ्वीनारायण शाह जीवनी More About Prithivi  Narayan Shah,nepalijiwani,/2019/05/blog-post.html,blog-pos,prrithvinarayana-shaha-jivani-more-about-prithivi-narayan,True,2019-05-27
SEE RESULT 2077 WITH MARKSHEET AND GPA,Class 10,/2019/06/see-result-2075-with-marksheet-and-gpa.html,see-result-2075-with-marksheet-and-gpa,see-result-2077-with-marksheet-and-gpa,False,2019-06-14
NEB Class 11 Nepali Book PDF ( Class 11 Nepali Notes) 2078,Class 11,/2021/09/neb-class-11-nepali-book-pdf-class-11.html,neb-class-11-nepali-book-pdf-class-11,neb-class-11-nepali-book-pdf-class-11-nepali-notes-2078,False,2021-09-17
Students Role in Country Development Essay in Nepali,Nepali Essay/Nibandha,/2019/06/students-role-in-country-development.html,students-role-in-country-developmen,students-role-in-country-development-essay-in-nepali,False,2019-06-05
BLE 2078/2079 HEALTH QUESTION,BLE PRACTICE 2076,/2019/06/ble-2075-health-question.html,ble-2075-health-question,ble-2078-2079-health-question,False,2019-06-27
